THE	O
SCARLET	O
LETTER	O
I	O
.	O

THE	O
PRISON	O
DOOR	O
A	B-PER
throng	I-PER
of	I-PER
bearded	I-PER
men	I-PER
,	O
in	O
sad-coloured	O
garments	O
and	O
grey	O
steeple-crowned	O
hats	O
,	O
inter-mixed	O
with	O
women	B-PER
,	O
some	B-PER
wearing	I-PER
hoods	I-PER
,	O
and	O
others	B-PER
bareheaded	I-PER
,	O
was	O
assembled	O
in	O
front	O
of	O
a	B-FAC
wooden	I-FAC
edifice	I-FAC
,	O
the	O
door	O
of	O
which	O
was	O
heavily	O
timbered	O
with	O
oak	O
,	O
and	O
studded	O
with	O
iron	O
spikes	O
.	O

The	O
founders	O
of	O
a	B-GPE
new	I-GPE
colony	I-GPE
,	O
whatever	O
Utopia	O
of	O
human	O
virtue	O
and	O
happiness	O
they	O
might	O
originally	O
project	O
,	O
have	O
invariably	O
recognised	O
it	O
among	O
their	O
earliest	O
practical	O
necessities	O
to	O
allot	O
a	O
portion	O
of	O
the	O
virgin	O
soil	O
as	O
a	B-FAC
cemetery	I-FAC
,	O
and	O
another	O
portion	O
as	O
the	O
site	O
of	O
a	B-FAC
prison	I-FAC
.	O

In	O
accordance	O
with	O
this	O
rule	O
it	O
may	O
safely	O
be	O
assumed	O
that	O
the	B-PER
forefathers	I-PER
of	I-PER
Boston	I-PER
had	O
built	O
the	B-FAC
first	I-FAC
prison-house	I-FAC
somewhere	B-LOC
in	I-LOC
the	I-LOC
Vicinity	I-LOC
of	I-LOC
Cornhill	I-LOC
,	O
almost	O
as	O
seasonably	O
as	O
they	O
marked	O
out	O
the	B-FAC
first	I-FAC
burial-ground	I-FAC
,	O
on	O
Isaac	B-FAC
Johnson	I-FAC
's	I-FAC
lot	I-FAC
,	O
and	O
round	O
about	O
his	O
grave	O
,	O
which	O
subsequently	O
became	O
the	O
nucleus	O
of	O
all	O
the	O
congregated	O
sepulchres	O
in	O
the	B-FAC
old	I-FAC
churchyard	I-FAC
of	I-FAC
King	I-FAC
's	I-FAC
Chapel	I-FAC
.	O

Certain	O
it	O
is	O
that	O
,	O
some	O
fifteen	O
or	O
twenty	O
years	O
after	O
the	O
settlement	O
of	O
the	B-GPE
town	I-GPE
,	O
the	B-FAC
wooden	I-FAC
jail	I-FAC
was	O
already	O
marked	O
with	O
weather-stains	O
and	O
other	O
indications	O
of	O
age	O
,	O
which	O
gave	O
a	O
yet	O
darker	O
aspect	O
to	O
its	O
beetle-browed	O
and	O
gloomy	O
front	O
.	O

The	O
rust	O
on	O
the	O
ponderous	O
iron-work	O
of	O
its	O
oaken	O
door	O
looked	O
more	O
antique	O
than	O
anything	O
else	O
in	O
the	B-LOC
New	I-LOC
World	I-LOC
.	O

Like	O
all	O
that	O
pertains	O
to	O
crime	O
,	O
it	O
seemed	O
never	O
to	O
have	O
known	O
a	O
youthful	O
era	O
.	O

Before	O
this	B-FAC
ugly	I-FAC
edifice	I-FAC
,	O
and	O
between	O
it	O
and	O
the	O
wheel-track	O
of	O
the	B-FAC
street	I-FAC
,	O
was	O
a	B-FAC
grass-plot	I-FAC
,	I-FAC
much	I-FAC
overgrown	I-FAC
with	I-FAC
burdock	I-FAC
,	I-FAC
pig-weed	I-FAC
,	I-FAC
apple-pern	I-FAC
,	I-FAC
and	I-FAC
such	I-FAC
unsightly	I-FAC
vegetation	I-FAC
,	I-FAC
which	I-FAC
evidently	I-FAC
found	I-FAC
something	I-FAC
congenial	I-FAC
in	I-FAC
the	I-FAC
soil	I-FAC
that	I-FAC
had	I-FAC
so	I-FAC
early	I-FAC
borne	I-FAC
the	I-FAC
black	I-FAC
flower	I-FAC
of	I-FAC
civilised	I-FAC
society	I-FAC
,	I-FAC
a	I-FAC
prison	I-FAC
.	O

But	O
on	O
one	O
side	O
of	O
the	O
portal	O
,	O
and	O
rooted	O
almost	O
at	O
the	O
threshold	O
,	O
was	O
a	O
wild	O
rose-bush	O
,	O
covered	O
,	O
in	O
this	O
month	O
of	O
June	O
,	O
with	O
its	O
delicate	O
gems	O
,	O
which	O
might	O
be	O
imagined	O
to	O
offer	O
their	O
fragrance	O
and	O
fragile	O
beauty	O
to	O
the	B-PER
prisoner	I-PER
as	O
he	O
went	O
in	O
,	O
and	O
to	O
the	B-PER
condemned	I-PER
criminal	I-PER
as	O
he	O
came	O
forth	O
to	O
his	O
doom	O
,	O
in	O
token	O
that	O
the	O
deep	O
heart	O
of	O
Nature	O
could	O
pity	O
and	O
be	O
kind	O
to	O
him	O
.	O

This	O
rose-bush	O
,	O
by	O
a	O
strange	O
chance	O
,	O
has	O
been	O
kept	O
alive	O
in	O
history	O
;	O
but	O
whether	O
it	O
had	O
merely	O
survived	O
out	O
of	O
the	B-LOC
stern	I-LOC
old	I-LOC
wilderness	I-LOC
,	O
so	O
long	O
after	O
the	O
fall	O
of	O
the	O
gigantic	O
pines	O
and	O
oaks	O
that	O
originally	O
overshadowed	O
it	O
,	O
or	O
whether	O
,	O
as	O
there	O
is	O
fair	O
authority	O
for	O
believing	O
,	O
it	O
had	O
sprung	O
up	O
under	O
the	O
footsteps	O
of	O
the	B-PER
sainted	I-PER
Ann	I-PER
Hutchinson	I-PER
as	O
she	O
entered	O
the	O
prison-door	O
,	O
we	O
shall	O
not	O
take	O
upon	O
us	O
to	O
determine	O
.	O

Finding	O
it	O
so	O
directly	O
on	O
the	O
threshold	O
of	O
our	O
narrative	O
,	O
which	O
is	O
now	O
about	O
to	O
issue	O
from	O
that	O
inauspicious	O
portal	O
,	O
we	O
could	O
hardly	O
do	O
otherwise	O
than	O
pluck	O
one	O
of	O
its	O
flowers	O
,	O
and	O
present	O
it	O
to	O
the	O
reader	O
.	O

It	O
may	O
serve	O
,	O
let	O
us	O
hope	O
,	O
to	O
symbolise	O
some	O
sweet	O
moral	O
blossom	O
that	O
may	O
be	O
found	O
along	O
the	O
track	O
,	O
or	O
